iter	RMSE
0	4.046024995
1	3.941079453
2	3.847873404
3	3.765734226
4	3.693562613
5	3.624776002
6	3.566905263
7	3.514069218
8	3.468130255
9	3.423660786
10	3.38697713
11	3.352308891
12	3.319268656
13	3.291002231
14	3.265255987
15	3.243130316
16	3.2224026
17	3.203191159
18	3.1854026
19	3.165701476
20	3.150693521
21	3.136292775
22	3.122364993
23	3.110289626
24	3.097264278
25	3.08788383
26	3.075207577
27	3.06433995
28	3.05546506
29	3.045383352
30	3.038638484
31	3.031696776
32	3.024937925
33	3.018647631
34	3.011150735
35	3.004640482
36	2.997464801
37	2.991846256
38	2.987480724
39	2.980945244
40	2.97641382
41	2.97203189
42	2.966400292
43	2.960591855
44	2.955078802
45	2.949932139
46	2.945650971
47	2.942014283
48	2.93784517
49	2.933923111
50	2.929256
51	2.925427072
52	2.919750712
53	2.916644687
54	2.913054091
55	2.907376122
56	2.90393543
57	2.900660933
58	2.897297951
59	2.893003863
60	2.889196279
61	2.884145794
62	2.879545754
63	2.877022267
64	2.873385534
65	2.870221719
66	2.867594829
67	2.864328714
68	2.86039609
69	2.857123352
70	2.854610671
71	2.851365463
72	2.849464775
73	2.846702107
74	2.843655333
75	2.840433059
76	2.837278198
77	2.83414586
78	2.831332718
79	2.829607029
80	2.826351409
81	2.823163836
82	2.819187574
83	2.816672742
84	2.814411715
85	2.811390128
86	2.809630625
87	2.807233881
88	2.805625875
89	2.802853316
90	2.801590925
91	2.799716537
92	2.797433438
93	2.795272066
94	2.793038662
95	2.790600783
96	2.787980524
97	2.785506482
98	2.783486567
99	2.781231862
100	2.778860338
101	2.777001738
102	2.775150139
103	2.772954273
104	2.76999697
105	2.767245275
106	2.763595171
107	2.761997261
108	2.760216517
109	2.758288887
110	2.755757972
111	2.753452261
112	2.750824481
113	2.748411968
114	2.746282308
115	2.743660092
116	2.742297638
117	2.739668006
118	2.737814887
119	2.735640006
120	2.733509315
121	2.732267497
122	2.730066391
123	2.727359853
124	2.725831494
125	2.723729115
126	2.722183662
127	2.720576086
128	2.718807191
129	2.716866315
130	2.715457881
131	2.713985716
132	2.712565969
133	2.711596561
134	2.709630664
135	2.706872524
136	2.705119048
137	2.703254878
138	2.7016981
139	2.700039295
140	2.698661217
141	2.696193121
142	2.694116353
143	2.693149841
144	2.691348828
145	2.689002304
146	2.687668553
147	2.68648557
148	2.685222627
149	2.683580992
150	2.681881638
151	2.680154728
152	2.678946098
153	2.677645313
154	2.676337153
155	2.674606817
156	2.673569315
157	2.671655116
158	2.670211626
159	2.668789095
