iter	Passed	Remaining
0	2	2402
1	4	2356
2	6	2304
3	9	2245
4	11	2204
5	13	2189
6	15	2177
7	17	2141
8	19	2118
9	21	2109
10	23	2088
11	25	2069
12	27	2071
13	29	2086
14	31	2076
15	33	2072
16	35	2069
17	37	2068
18	39	2059
19	41	2056
20	44	2058
21	46	2047
22	47	2038
23	49	2028
24	51	2026
25	53	2020
26	55	2018
27	58	2029
28	61	2049
29	63	2068
30	66	2076
31	68	2081
32	71	2089
33	73	2091
34	76	2098
35	78	2098
36	80	2103
37	83	2110
38	85	2110
39	88	2115
40	90	2119
41	93	2124
42	95	2128
43	97	2124
44	99	2116
45	101	2111
46	103	2105
47	105	2101
48	108	2096
49	110	2091
50	112	2085
51	114	2080
52	116	2075
53	118	2070
54	120	2064
55	122	2060
56	124	2053
57	126	2050
58	128	2045
59	130	2041
60	132	2037
61	134	2033
62	136	2037
63	139	2035
64	141	2030
65	143	2029
66	145	2024
67	147	2022
68	149	2019
69	151	2016
70	153	2014
71	155	2009
72	157	2004
73	159	2002
74	162	1999
75	163	1993
76	166	1993
77	168	1990
78	170	1986
79	172	1985
80	174	1981
81	176	1980
82	179	1979
83	181	1974
84	183	1971
85	185	1968
86	187	1972
87	190	1971
88	192	1967
89	194	1963
90	196	1960
91	198	1958
92	200	1956
93	202	1953
94	204	1950
95	206	1946
96	208	1943
97	211	1942
98	213	1939
99	214	1934
100	216	1931
101	219	1929
102	221	1926
103	223	1925
104	225	1921
105	227	1918
106	229	1918
107	232	1921
108	235	1924
109	237	1925
110	240	1925
111	243	1927
112	245	1927
113	248	1928
114	250	1928
115	252	1927
116	255	1926
117	257	1924
118	260	1925
119	262	1925
120	265	1926
121	267	1926
122	270	1925
123	272	1922
124	274	1921
125	276	1916
126	277	1910
127	279	1903
128	281	1898
129	282	1892
130	284	1887
131	286	1881
132	288	1879
133	289	1873
134	291	1869
135	293	1863
136	294	1857
137	296	1852
138	298	1847
139	299	1841
140	301	1836
141	303	1831
142	304	1827
143	306	1821
144	308	1817
145	310	1813
146	311	1808
147	313	1804
148	315	1800
149	316	1795
150	318	1790
151	320	1786
152	321	1780
153	323	1776
154	325	1772
155	326	1767
156	328	1761
157	329	1757
158	331	1752
159	332	1747
160	335	1746
161	336	1742
162	338	1738
163	340	1734
164	341	1730
165	343	1726
166	345	1725
167	347	1721
168	349	1717
169	350	1713
170	352	1709
171	354	1705
172	355	1700
173	357	1696
174	359	1692
175	360	1689
176	362	1685
177	364	1681
178	365	1678
179	367	1674
180	369	1671
181	371	1668
182	372	1664
183	374	1659
184	375	1655
185	377	1651
186	379	1648
187	380	1644
188	382	1641
189	384	1637
190	385	1634
191	387	1630
192	388	1626
193	390	1622
194	392	1619
195	393	1616
196	395	1612
197	397	1609
198	399	1606
199	400	1602
200	402	1599
201	404	1596
202	405	1592
203	407	1588
204	409	1586
205	410	1583
206	412	1579
207	414	1576
208	415	1573
209	417	1569
210	419	1566
211	420	1563
212	422	1560
213	424	1557
214	425	1554
215	427	1551
216	429	1548
217	430	1545
218	432	1542
219	434	1539
220	436	1537
221	437	1533
222	439	1530
223	440	1527
224	442	1524
225	444	1521
226	446	1519
227	447	1516
228	449	1513
229	451	1510
230	452	1507
231	454	1504
232	456	1501
233	457	1498
234	459	1496
235	461	1492
236	462	1489
237	464	1487
238	466	1484
239	467	1481
240	469	1478
241	471	1475
242	472	1472
243	474	1469
244	475	1466
245	477	1464
246	479	1461
247	481	1459
248	482	1456
249	484	1453
250	486	1450
251	487	1447
252	489	1444
253	491	1442
254	492	1439
255	494	1437
256	496	1435
257	497	1432
258	499	1429
259	501	1427
260	503	1424
261	505	1422
262	506	1420
263	508	1417
264	510	1414
265	511	1412
266	513	1409
267	515	1407
268	516	1404
269	518	1401
270	519	1398
271	521	1395
272	523	1393
273	524	1390
274	526	1387
275	528	1385
276	530	1383
277	531	1381
278	533	1378
279	535	1376
280	536	1373
281	538	1370
282	540	1368
283	541	1365
284	543	1362
285	544	1360
286	546	1357
287	548	1354
288	549	1352
289	551	1349
290	552	1346
291	554	1344
292	556	1341
293	557	1339
294	559	1336
295	561	1334
296	563	1333
297	564	1330
298	566	1328
299	568	1325
300	569	1323
301	571	1320
302	573	1318
303	574	1315
304	576	1313
305	578	1310
306	579	1308
307	581	1305
308	582	1303
309	584	1300
